pt1_cam1_X,pt1_cam1_Y
1441.629264,630.196850
1442.000000,630.000000
1441.980000,630.000000
1441.980000,630.000000
1441.980000,630.000000
1441.990000,630.000000
1441.980000,629.990000
1441.950000,629.990000
1441.970000,629.970000
1441.990000,629.990000
1442.010000,629.950000
1442.020000,629.970000
1442.000000,629.970000
1442.000000,629.960000
1442.000000,629.970000
1441.970000,629.960000
1441.970000,629.960000
1441.960000,630.010000
1441.970000,629.970000
1441.970000,629.980000
1441.980000,629.980000
1441.980000,629.910000
1441.970000,629.950000
1441.970000,629.880000
1442.010000,629.970000
1442.000000,630.020000
1442.000000,630.010000
1441.970000,629.990000
1441.970000,630.040000
1441.970000,630.010000
1441.960000,630.030000
1441.960000,630.020000
1441.960000,630.020000
1441.980000,630.040000
1441.970000,630.050000
1441.960000,630.080000
1441.960000,630.060000
1441.950000,630.060000
1441.970000,630.070000
1441.950000,630.080000
1441.970000,630.090000
1441.980000,630.070000
1441.970000,630.060000
1441.990000,630.080000
1442.000000,630.090000
1441.990000,630.100000
1442.000000,630.100000
1442.010000,630.070000
1442.020000,630.120000
1442.020000,630.070000
1441.980000,630.100000
1442.000000,630.110000
1442.000000,630.120000
1441.990000,630.110000
1442.010000,630.120000
1442.010000,630.100000
1442.030000,630.120000
1442.040000,630.150000
1442.030000,630.120000
1442.020000,630.140000
1442.020000,630.110000
1442.030000,630.160000
1442.030000,630.180000
1442.030000,630.190000
1442.070000,630.060000
1442.100000,630.070000
1442.080000,630.060000
1442.030000,630.200000
1442.030000,630.190000
1442.020000,630.190000
1442.020000,630.190000
1442.010000,630.150000
1442.070000,630.010000
1442.020000,630.120000
1442.030000,630.150000
1442.040000,630.230000
1442.070000,630.070000
1442.020000,630.160000
1442.030000,630.160000
1442.020000,630.160000
1442.030000,630.160000
1442.020000,630.170000
1442.040000,630.170000
1442.040000,630.190000
1442.040000,630.180000
1442.040000,630.170000
1442.030000,630.200000
1442.030000,630.190000
1442.030000,630.190000
1442.020000,630.170000
1442.020000,630.150000
1442.000000,630.140000
1442.010000,630.170000
1442.020000,630.150000
1442.000000,630.180000
1442.010000,630.220000
1442.010000,630.250000
1441.970000,630.220000
1441.980000,630.260000
1441.980000,630.270000
1441.990000,630.250000
1442.000000,630.230000
1441.990000,630.230000
1441.990000,630.230000
1441.990000,630.240000
1442.000000,630.270000
1441.990000,630.260000
1441.990000,630.250000
1441.980000,630.250000
1441.990000,630.280000
1441.960000,630.130000
1441.960000,630.110000
1441.970000,630.120000
1441.970000,630.120000
1442.000000,630.260000
1441.980000,630.120000
1441.950000,630.100000
1441.970000,630.150000
1441.940000,630.160000
1441.910000,630.120000
1441.910000,630.110000
1441.920000,630.130000
1441.960000,630.220000
1441.970000,630.200000
1441.960000,630.200000
1441.940000,630.190000
1441.930000,630.190000
1441.900000,630.230000
1441.900000,630.200000
1441.780000,630.100000
1441.810000,630.160000
1441.910000,630.220000
1441.900000,630.170000
1441.910000,630.170000
1441.910000,630.180000
1441.830000,630.140000
1441.890000,630.190000
1441.880000,630.190000
1441.880000,630.200000
1441.780000,630.120000
1441.760000,630.120000
1441.880000,630.230000
1441.860000,630.200000
1441.800000,630.100000
1441.810000,630.100000
1441.880000,630.210000
1441.820000,630.110000
1441.840000,630.120000
1441.850000,630.150000
1441.840000,630.140000
1441.800000,630.140000
1441.820000,630.150000
1441.850000,630.130000
1441.820000,630.140000
1441.810000,630.150000
1441.840000,630.140000
1441.840000,630.160000
1441.830000,630.140000
1441.830000,630.170000
1441.830000,630.170000
1441.890000,630.300000
1441.840000,630.190000
1441.890000,630.290000
1441.850000,630.310000
1441.830000,630.240000
1441.830000,630.280000
1441.850000,630.300000
1441.820000,630.380000
1441.840000,630.360000
1441.840000,630.350000
1441.760000,630.200000
1441.710000,630.200000
1441.730000,630.220000
1441.830000,630.290000
1441.730000,630.200000
1441.750000,630.210000
1441.760000,630.200000
1441.770000,630.190000
1441.810000,630.190000
1441.800000,630.190000
1441.770000,630.190000
1441.880000,630.230000
1441.880000,630.260000
1441.880000,630.280000
1441.870000,630.260000
1441.850000,630.230000
1441.880000,630.350000
1441.880000,630.320000
1441.870000,630.330000
1441.880000,630.300000
1441.890000,630.310000
1441.880000,630.250000
1441.900000,630.180000
1441.910000,630.180000
1441.780000,630.160000
1441.740000,630.220000
1441.730000,630.200000
1441.750000,630.200000
1441.760000,630.190000
1441.750000,630.210000
1441.750000,630.210000
1441.770000,630.190000
1441.800000,630.190000
1441.780000,630.150000
1441.790000,630.150000
1441.840000,630.130000
1441.830000,630.130000
1441.780000,630.170000
1441.790000,630.170000
1441.830000,630.160000
1441.810000,630.150000
1441.940000,630.230000
1441.950000,630.160000
1441.940000,630.180000
1441.940000,630.190000
1441.950000,630.190000
1441.930000,630.140000
1441.830000,630.150000
1441.830000,630.150000
1441.840000,630.140000
1441.950000,630.160000
1441.940000,630.160000
1441.850000,630.160000
1441.840000,630.140000
1441.830000,630.130000
1441.830000,630.130000
1441.840000,630.150000
1441.850000,630.160000
1441.840000,630.160000
1441.940000,630.230000
1441.880000,630.160000
1441.860000,630.160000
1441.840000,630.170000
1441.860000,630.160000
1441.860000,630.160000
1441.880000,630.120000
1441.960000,630.210000
1441.970000,630.200000
1441.960000,630.210000
1441.960000,630.190000
1441.930000,630.260000
1441.910000,630.250000
1441.920000,630.240000
1441.920000,630.240000
1441.920000,630.220000
1441.920000,630.240000
1441.920000,630.220000
1441.890000,630.310000
1441.890000,630.310000
1441.940000,630.330000
1441.920000,630.310000
1441.930000,630.340000
1441.900000,630.270000
1441.930000,630.280000
1441.920000,630.300000
1441.910000,630.160000
1441.900000,630.240000
1441.910000,630.150000
1441.890000,630.240000
1441.880000,630.140000
1441.890000,630.210000
1441.930000,630.200000
1441.950000,630.190000
1441.930000,630.200000
1441.930000,630.090000
1441.950000,630.090000
1441.940000,630.140000
1441.970000,630.090000
1441.940000,630.140000
1441.940000,630.110000
1441.930000,630.180000
1441.960000,630.250000
1441.960000,630.210000
1441.950000,630.280000
1441.940000,630.250000
1441.970000,630.200000
1441.980000,630.240000
1441.980000,630.240000
1441.980000,630.260000
1441.940000,630.120000
1441.940000,630.220000
1441.970000,630.290000
1441.990000,630.270000
1441.980000,630.270000
1441.960000,630.240000
1441.960000,630.240000
1441.980000,630.250000
1441.950000,630.270000
1441.980000,630.280000
1441.990000,630.290000
1441.980000,630.270000
1442.000000,630.310000
1441.990000,630.230000
1441.980000,630.260000
1441.980000,630.270000
1441.990000,630.280000
1442.000000,630.290000
1442.000000,630.250000
1441.990000,630.210000
1441.980000,630.220000
1442.020000,630.230000
1442.010000,630.150000
1441.990000,630.190000
1441.980000,630.250000
1441.940000,630.300000
1441.970000,630.300000
1441.980000,630.300000
1441.980000,630.270000
1441.980000,630.270000
1441.960000,630.260000
1441.950000,630.220000
1441.930000,630.240000
1441.960000,630.290000
1441.950000,630.250000
1441.960000,630.250000
1441.960000,630.260000
1441.940000,630.230000
1441.950000,630.230000
1441.950000,630.200000
1441.950000,630.210000
1441.950000,630.200000
1441.930000,630.150000
1441.930000,630.160000
1441.930000,630.170000
1441.940000,630.150000
1441.950000,630.190000
1441.950000,630.170000
1441.960000,630.140000
1441.960000,630.150000
1441.940000,630.130000
1441.940000,630.140000
1441.970000,630.110000
1441.980000,630.100000
1441.980000,630.090000
1441.970000,630.120000
1441.960000,630.120000
1441.980000,630.150000
1441.980000,630.160000
1441.950000,630.130000
1441.930000,630.100000
1441.940000,630.060000
1441.960000,630.080000
1441.960000,630.080000
1441.960000,630.050000
1441.960000,630.080000
1441.960000,630.110000
1441.940000,630.100000
1441.950000,630.110000
1441.950000,630.130000
1441.970000,630.170000
1441.950000,630.170000
1441.970000,630.150000
1441.950000,630.120000
1441.970000,630.150000
1441.970000,630.150000
1441.980000,630.170000
1441.950000,630.120000
1441.960000,630.130000
1441.960000,630.140000
1441.970000,630.140000
1441.990000,630.150000
1441.990000,630.170000
1441.970000,630.160000
1441.950000,630.140000
1441.970000,630.170000
1441.970000,630.150000
1441.970000,630.150000
1441.950000,630.160000
1441.970000,630.150000
1441.980000,630.160000
1441.970000,630.180000
1441.970000,630.110000
1441.990000,630.120000
1441.980000,630.200000
1441.970000,630.220000
1441.990000,630.230000
1441.980000,630.190000
1442.000000,630.200000
1441.970000,630.120000
1441.970000,630.120000
1441.960000,630.140000
1441.970000,630.170000
1441.970000,630.170000
1441.970000,630.130000
1441.970000,630.150000
1441.960000,630.150000
1441.970000,630.170000
1441.950000,630.150000
1441.950000,630.160000
1441.940000,630.180000
1441.980000,630.190000
1441.950000,630.120000
1441.940000,630.120000
1441.970000,630.140000
1441.980000,630.140000
1442.000000,630.130000
1442.010000,630.170000
1441.990000,630.160000
1441.990000,630.130000
1442.000000,630.130000
1442.010000,630.180000
1442.010000,630.190000
1442.010000,630.190000
1442.020000,630.220000
1441.990000,630.160000
1441.990000,630.180000
1441.970000,630.170000
1441.970000,630.170000
1441.950000,630.160000
1441.980000,630.100000
1441.970000,630.090000
1441.970000,630.090000
1441.980000,630.110000
1441.980000,630.180000
1441.980000,630.230000
1441.990000,630.130000
1441.980000,630.130000
1441.990000,630.130000
1441.980000,630.090000
1441.980000,630.110000
1441.990000,630.070000
1442.000000,630.080000
1441.990000,630.030000
1442.000000,630.080000
1442.010000,630.070000
1442.010000,630.070000
1442.020000,630.080000
1442.030000,630.080000
1442.010000,630.090000
1441.990000,630.090000
1442.000000,630.080000
1441.990000,630.080000
1441.990000,630.090000
1441.990000,630.060000
1441.990000,630.060000
1442.000000,630.080000
1442.000000,630.110000
1442.010000,630.090000
1441.990000,630.200000
1442.000000,630.130000
1441.990000,630.070000
1441.990000,630.060000
1442.000000,630.070000
1441.990000,630.060000
1441.990000,630.060000
1442.000000,630.060000
1441.990000,630.060000
1441.990000,630.090000
1441.970000,630.110000
1441.960000,630.100000
1441.970000,630.160000
1441.980000,630.150000
1441.940000,630.100000
1441.980000,630.120000
1441.980000,630.140000
1441.980000,630.130000
1441.960000,630.130000
1441.980000,630.120000
1441.900000,630.050000
1441.960000,630.120000
1441.960000,630.090000
1441.960000,630.080000
1441.960000,630.080000
1441.950000,630.070000
1441.960000,630.100000
1441.940000,630.050000
1441.880000,630.040000
1441.830000,630.040000
1441.830000,630.030000
1441.830000,630.020000
1441.840000,630.070000
1441.850000,630.070000
1441.840000,630.080000
1441.860000,630.070000
1441.870000,630.040000
1441.820000,629.980000
1441.840000,630.080000
1441.820000,630.080000
1441.750000,630.130000
1441.740000,630.100000
1441.820000,630.060000
1441.840000,630.150000
1441.810000,630.060000
1441.810000,630.090000
1441.830000,630.130000
1441.810000,630.180000
1441.820000,630.140000
1441.790000,630.140000
1441.800000,630.060000
1441.800000,630.100000
1441.800000,630.130000
1441.800000,630.140000
1441.790000,630.140000
1441.790000,630.170000
1441.780000,630.160000
1441.800000,630.170000
1441.820000,630.150000
1441.820000,630.130000
1441.820000,630.100000
1441.830000,630.120000
1441.820000,630.110000
1441.830000,630.100000
1441.840000,630.120000
1441.840000,630.110000
1441.820000,630.090000
1441.830000,630.080000
1441.830000,630.100000
1441.830000,630.110000
1441.850000,630.110000
1441.850000,630.090000
1441.860000,630.100000
1441.870000,630.120000
1441.800000,630.100000
1441.780000,630.080000
1441.780000,630.080000
1441.780000,630.130000
1441.800000,630.140000
1441.800000,630.120000
1441.770000,630.110000
1441.780000,630.130000
1441.800000,630.150000
1441.780000,630.290000
1441.800000,630.090000
1441.780000,630.080000
1441.810000,630.090000
1441.810000,630.070000
1441.820000,630.080000
1441.790000,630.110000
1441.790000,630.070000
1441.850000,630.110000
1441.850000,630.160000
1441.810000,630.130000
1441.830000,630.130000
1441.830000,630.150000
1441.830000,630.170000
1441.830000,630.150000
1441.820000,630.160000
1441.790000,630.190000
1441.830000,630.120000
1441.800000,630.120000
1441.780000,630.170000
1441.810000,630.100000
1441.780000,630.130000
1441.810000,630.120000
1441.810000,630.120000
