pt1_cam1_X,pt1_cam1_Y
1396.594687,626.135359
1397.840000,626.680000
1399.140000,628.000000
1399.900000,629.230000
1399.290000,630.590000
1398.680000,630.890000
1398.210000,631.130000
1398.070000,630.870000
1397.810000,630.750000
1397.530000,630.530000
1396.840000,629.500000
1396.630000,628.810000
1396.670000,628.080000
1396.970000,627.420000
1396.920000,627.760000
1396.670000,628.300000
1395.980000,629.180000
1395.430000,630.180000
1395.240000,631.130000
1395.330000,632.000000
1395.120000,632.910000
1394.950000,633.780000
1394.230000,634.240000
1393.880000,634.060000
1393.430000,633.770000
1393.350000,633.780000
1393.050000,633.850000
1393.050000,634.110000
1392.990000,635.750000
1392.850000,637.920000
1392.500000,640.140000
1392.050000,641.810000
1391.860000,642.310000
1391.810000,641.620000
1391.800000,640.780000
1391.710000,640.040000
1391.650000,639.570000
1391.740000,639.970000
1391.780000,640.790000
1391.550000,642.540000
1391.020000,644.500000
1391.090000,646.790000
1391.530000,649.670000
1391.990000,652.210000
1391.680000,654.720000
1391.350000,655.540000
1390.890000,655.520000
1390.730000,655.440000
1390.700000,654.590000
1390.060000,653.560000
1389.190000,652.590000
1388.120000,651.220000
1387.280000,649.220000
1386.350000,646.660000
1385.850000,643.870000
1385.540000,641.080000
1384.750000,639.000000
1384.020000,637.780000
1383.880000,636.700000
1384.070000,636.150000
1383.830000,635.130000
1383.110000,633.950000
1381.480000,632.490000
1379.990000,629.540000
1379.110000,626.560000
1378.920000,623.830000
1379.600000,621.880000
1379.860000,620.950000
1379.790000,620.630000
1379.960000,620.160000
1379.890000,619.920000
1380.150000,619.950000
1380.700000,620.120000
1381.820000,620.330000
1382.240000,621.050000
1382.360000,621.930000
1382.240000,622.770000
1381.820000,623.650000
1381.130000,624.510000
1381.760000,623.230000
1381.990000,621.850000
1382.040000,621.070000
1382.110000,620.250000
1382.180000,620.150000
1382.080000,620.330000
1382.070000,620.320000
1381.970000,620.320000
1382.040000,620.360000
1382.200000,620.410000
1382.410000,620.590000
1382.570000,621.170000
1382.110000,622.060000
