pt1_cam1_X,pt1_cam1_Y
1255.041343,633.409699
1254.990000,633.030000
1255.030000,632.950000
1254.990000,632.940000
1254.970000,632.970000
1255.020000,633.050000
1255.070000,633.010000
1255.040000,633.030000
1255.020000,632.950000
1255.020000,632.940000
1255.030000,633.000000
1255.010000,632.980000
1254.610000,632.460000
1254.930000,629.220000
1255.300000,624.650000
1255.580000,622.690000
1255.240000,624.270000
1255.550000,625.020000
1255.650000,624.980000
1255.540000,624.650000
1255.680000,624.790000
1255.770000,626.010000
1256.030000,627.900000
1256.190000,631.840000
1256.070000,634.470000
1256.260000,635.240000
1256.070000,633.620000
1255.520000,631.840000
1255.360000,631.350000
1255.330000,632.530000
1255.230000,633.570000
1255.260000,634.070000
1255.200000,633.420000
1255.310000,632.750000
1255.450000,632.740000
1255.330000,633.410000
1255.000000,633.900000
1254.850000,633.760000
1254.890000,633.540000
1254.710000,632.980000
1254.760000,632.710000
1254.800000,633.040000
1254.430000,633.330000
1254.090000,633.780000
1254.290000,633.880000
1254.660000,634.050000
1254.720000,634.060000
1254.820000,634.270000
1254.800000,634.290000
1254.590000,633.900000
1253.660000,633.780000
1252.990000,633.850000
1252.580000,633.860000
1252.550000,633.460000
1252.170000,632.970000
1251.480000,632.760000
1250.360000,632.080000
1250.310000,631.900000
1250.400000,632.010000
1250.140000,631.590000
1249.940000,630.710000
1249.720000,630.030000
1249.460000,629.260000
1249.110000,628.980000
1248.950000,628.900000
1248.710000,628.680000
1248.000000,627.780000
1247.780000,627.050000
1247.780000,626.780000
1248.030000,626.200000
1247.980000,625.980000
1247.720000,625.950000
1247.440000,625.820000
1247.380000,625.630000
1247.350000,625.340000
1247.380000,625.300000
1247.120000,625.470000
1246.910000,625.750000
1246.940000,625.630000
1246.920000,625.420000
1246.830000,624.980000
1246.910000,625.070000
1246.920000,625.040000
1246.910000,624.890000
1246.960000,624.910000
1247.000000,624.940000
1247.000000,624.840000
1246.760000,624.980000
1246.520000,625.030000
1246.380000,625.020000
1246.540000,624.980000
1246.570000,624.940000
1246.490000,624.920000
1246.460000,624.950000
1246.590000,624.900000
1246.750000,624.870000
1246.600000,624.880000
1246.570000,625.160000
1246.130000,625.740000
1245.420000,627.100000
1244.870000,628.300000
1244.540000,629.530000
1243.810000,630.730000
1243.190000,632.020000
1243.110000,632.820000
1243.110000,633.360000
1242.910000,633.330000
1242.830000,633.040000
1242.810000,632.980000
1242.760000,633.040000
1242.360000,633.080000
1241.900000,633.240000
1241.680000,633.370000
1241.810000,633.820000
1241.830000,633.770000
1241.700000,633.690000
1241.600000,633.710000
1241.200000,633.710000
1241.020000,633.690000
1240.880000,633.510000
1240.590000,633.020000
1240.360000,633.060000
1240.190000,633.400000
1240.060000,634.100000
1240.000000,634.410000
1239.980000,634.220000
1239.870000,633.870000
1239.390000,633.910000
1238.690000,634.130000
1238.380000,634.100000
1238.240000,634.110000
1238.120000,634.420000
1237.490000,635.340000
1237.580000,635.040000
1237.930000,633.780000
1237.970000,632.360000
1237.900000,631.070000
1237.930000,629.940000
1237.850000,628.830000
1237.760000,627.830000
1237.560000,627.050000
1237.350000,626.680000
1237.180000,626.270000
1237.280000,626.360000
1237.230000,626.510000
1237.210000,626.580000
1236.810000,626.500000
1236.220000,626.560000
1235.950000,627.090000
1235.900000,627.400000
1235.910000,627.580000
1235.590000,627.710000
1235.270000,627.910000
1235.190000,628.030000
1235.200000,628.160000
1235.070000,627.850000
1235.030000,627.480000
1235.040000,626.880000
1234.940000,626.610000
1234.580000,626.860000
1234.230000,627.490000
1234.170000,628.450000
1233.990000,629.710000
1233.370000,630.720000
1232.970000,631.170000
1232.980000,631.150000
1233.050000,630.870000
1232.740000,630.490000
1232.310000,629.690000
1232.120000,628.970000
1232.310000,628.550000
1232.170000,628.960000
1231.820000,629.140000
1231.750000,628.820000
1231.580000,627.960000
1231.420000,626.360000
1231.390000,624.640000
1231.400000,623.470000
1231.230000,623.570000
1231.010000,624.460000
1230.640000,624.890000
1230.270000,624.300000
1230.340000,623.680000
1230.330000,623.920000
1230.210000,624.690000
1229.930000,625.260000
1229.770000,625.870000
1229.650000,626.010000
1229.160000,626.360000
1228.990000,626.880000
1228.770000,627.450000
1228.320000,628.430000
1227.760000,629.340000
1227.290000,630.380000
1227.120000,631.250000
1226.950000,631.930000
1226.890000,632.640000
1227.050000,632.730000
1226.930000,632.810000
1226.680000,632.730000
1226.310000,632.930000
1226.340000,632.950000
1226.430000,632.960000
1226.340000,632.980000
1226.220000,632.900000
1226.120000,632.870000
1226.140000,632.770000
1226.130000,632.730000
1226.060000,632.700000
1226.020000,632.500000
1225.980000,632.270000
1225.580000,632.430000
1225.210000,632.800000
1225.120000,632.930000
1225.050000,633.030000
1224.820000,633.030000
1224.870000,632.930000
1224.910000,632.920000
1224.580000,632.910000
1224.250000,632.720000
1223.820000,632.670000
1223.040000,632.770000
1222.840000,632.680000
1223.210000,632.580000
1223.700000,631.280000
1223.810000,630.290000
1223.100000,630.590000
1222.960000,631.020000
1222.960000,630.850000
1223.000000,630.410000
1222.810000,629.900000
1222.680000,629.660000
1222.710000,629.770000
1222.640000,630.010000
1222.660000,629.990000
1222.650000,629.980000
1222.170000,629.880000
1221.800000,629.910000
1221.590000,630.060000
1221.420000,630.040000
1221.280000,630.170000
1221.330000,630.170000
1221.340000,630.020000
1221.140000,630.000000
1221.090000,630.060000
1221.140000,629.970000
1221.140000,629.940000
1220.910000,629.880000
1220.840000,629.840000
1220.860000,629.850000
1221.010000,630.040000
1220.090000,631.500000
1219.500000,632.940000
1219.010000,633.530000
1218.260000,633.540000
1218.120000,633.410000
1217.890000,633.180000
1217.800000,633.580000
1217.940000,633.770000
1218.360000,633.700000
1218.820000,634.090000
1219.000000,634.120000
1219.230000,633.690000
1219.110000,633.240000
1219.140000,633.350000
1219.330000,633.700000
1219.090000,634.360000
1218.680000,634.890000
1218.600000,634.910000
1218.430000,634.540000
1218.290000,634.030000
1218.020000,634.140000
1218.010000,634.430000
1217.670000,634.760000
1217.400000,634.770000
1217.250000,634.950000
1217.250000,634.990000
1217.200000,635.030000
1216.920000,635.090000
1216.420000,634.960000
1215.970000,635.050000
1215.780000,635.150000
1215.340000,635.180000
1214.880000,635.080000
1214.770000,635.050000
1215.140000,635.060000
1215.140000,635.300000
1215.020000,635.250000
1214.890000,635.300000
1214.460000,635.010000
1213.820000,634.970000
1213.400000,634.750000
1213.300000,634.390000
1213.330000,634.120000
1213.010000,634.070000
1212.590000,633.890000
1212.270000,633.660000
1212.350000,632.990000
1212.400000,632.520000
1212.060000,632.870000
1211.790000,633.590000
1211.750000,633.800000
1211.190000,633.730000
1210.740000,633.420000
1210.660000,633.160000
1210.710000,633.380000
1210.740000,633.590000
1210.690000,633.830000
1210.750000,633.770000
1210.700000,633.750000
1210.830000,633.760000
1210.790000,634.010000
1210.830000,634.260000
1210.940000,634.370000
1210.770000,634.500000
1210.590000,634.610000
1210.400000,634.690000
1210.510000,634.730000
1210.670000,634.760000
1210.680000,634.940000
1210.760000,634.820000
1210.790000,634.840000
1210.730000,634.820000
1210.600000,635.070000
1210.470000,635.180000
1210.530000,635.100000
1210.580000,635.100000
1210.380000,635.260000
1210.160000,635.160000
1210.230000,635.260000
1210.260000,635.350000
1209.890000,635.790000
1209.910000,636.110000
1209.760000,636.190000
1209.540000,636.240000
1209.070000,636.590000
1209.020000,636.400000
1209.140000,636.040000
1208.530000,636.110000
1207.750000,636.090000
1207.300000,636.000000
1207.110000,635.790000
1206.630000,635.850000
1205.910000,636.340000
1205.860000,637.140000
1205.390000,638.050000
1204.710000,638.390000
1204.650000,636.950000
1204.350000,635.610000
1204.120000,635.170000
1203.970000,635.760000
1203.770000,636.020000
1203.880000,635.760000
1204.000000,635.490000
1203.990000,635.180000
1203.870000,635.290000
1203.530000,635.260000
1202.950000,635.150000
1202.410000,635.150000
1202.380000,635.330000
1202.110000,635.520000
1202.080000,635.600000
1202.080000,635.810000
1202.040000,635.690000
1202.100000,635.880000
1202.170000,636.030000
1201.920000,636.060000
1201.430000,635.770000
1201.210000,635.580000
1201.410000,635.380000
1201.540000,635.180000
1201.490000,633.820000
1201.570000,631.510000
1203.030000,628.770000
1204.620000,627.190000
1204.810000,626.870000
1204.900000,627.290000
1204.680000,627.830000
1203.960000,627.860000
1203.390000,628.080000
1203.620000,628.300000
1203.750000,628.580000
1203.720000,628.580000
1203.600000,628.610000
1203.430000,628.500000
1202.910000,628.100000
1202.690000,628.130000
1202.580000,628.050000
1202.420000,628.170000
1202.450000,628.430000
1202.420000,628.780000
1202.470000,628.710000
1202.600000,628.740000
1202.110000,628.670000
1201.650000,628.630000
1201.060000,629.080000
1200.670000,629.060000
1200.780000,629.180000
1200.840000,629.190000
1200.620000,629.340000
1200.250000,629.450000
1200.430000,629.600000
1200.510000,629.500000
1200.360000,628.950000
1199.610000,629.280000
1199.230000,629.850000
1199.180000,630.020000
1199.050000,630.020000
1198.970000,629.900000
1198.770000,629.700000
1198.540000,629.550000
1198.140000,628.980000
1198.080000,628.330000
1198.160000,627.470000
1198.440000,626.510000
1198.630000,625.240000
1198.710000,624.170000
1198.500000,624.160000
1198.140000,624.080000
1198.110000,624.160000
1198.040000,624.170000
1198.190000,623.970000
1198.190000,623.870000
1198.070000,623.640000
1197.940000,623.160000
1197.920000,622.930000
1197.880000,622.660000
1197.750000,622.320000
1197.630000,622.130000
1197.320000,621.920000
1196.870000,621.870000
1196.490000,621.640000
1196.320000,621.230000
1196.170000,621.140000
1195.970000,621.020000
1195.450000,620.860000
1195.170000,620.840000
1195.040000,620.870000
1195.110000,620.830000
1195.060000,620.940000
1195.040000,620.960000
1195.150000,620.840000
1195.120000,620.860000
1195.020000,620.880000
1194.990000,620.840000
1195.000000,620.950000
1194.790000,621.040000
1194.490000,620.970000
1194.060000,621.050000
1193.890000,621.020000
1193.890000,620.820000
1193.600000,620.830000
1193.560000,620.910000
1193.740000,620.890000
1193.860000,620.770000
1193.590000,620.920000
1193.230000,620.980000
1192.650000,621.200000
1191.640000,621.510000
1190.740000,622.310000
1189.940000,624.220000
1189.660000,626.210000
1189.400000,628.090000
1189.050000,629.730000
1188.410000,632.050000
1188.200000,634.340000
1187.440000,635.960000
1186.460000,635.490000
1186.350000,634.940000
1186.650000,634.870000
1186.830000,635.410000
1186.480000,635.830000
1186.260000,635.640000
1186.390000,635.470000
1186.420000,635.210000
1186.170000,635.220000
1186.040000,635.260000
1185.960000,635.150000
1185.780000,635.100000
1185.800000,635.210000
1185.880000,635.410000
1185.920000,635.700000
1185.880000,635.400000
1185.550000,635.030000
1185.020000,634.840000
1184.790000,634.720000
1184.740000,634.770000
1184.620000,634.890000
1184.550000,634.930000
1184.350000,635.100000
1184.260000,635.270000
1184.250000,635.880000
1184.150000,636.910000
1183.680000,635.430000
1182.940000,631.850000
1182.950000,629.280000
1183.340000,628.430000
1183.450000,629.160000
1183.140000,629.610000
