pt1_cam1_X,pt1_cam1_Y
1098.186204,538.216934
1097.970000,538.000000
1097.940000,537.980000
1097.930000,537.960000
1098.040000,538.110000
1098.150000,538.370000
1098.220000,538.940000
1098.190000,539.360000
1098.080000,540.090000
1097.950000,540.830000
1097.800000,541.590000
1097.480000,542.230000
1096.750000,543.470000
1095.940000,545.180000
1095.170000,547.100000
1094.550000,549.210000
1094.580000,550.070000
1094.420000,549.810000
1094.360000,548.930000
1094.430000,548.060000
1094.650000,547.980000
1095.100000,548.280000
1095.100000,548.280000
1095.090000,548.070000
1095.000000,548.200000
1094.970000,548.870000
1095.170000,549.340000
1095.020000,549.650000
1094.740000,549.560000
1094.630000,550.310000
1094.730000,554.930000
1094.810000,558.780000
1093.150000,560.970000
1092.060000,560.830000
1092.080000,560.650000
1092.280000,559.830000
1091.930000,558.750000
1091.960000,557.860000
1092.060000,557.120000
1092.150000,556.690000
1092.110000,557.950000
1092.080000,559.220000
1091.850000,560.080000
1091.720000,560.620000
1091.620000,560.290000
1091.710000,559.320000
1091.740000,558.870000
1091.250000,558.210000
1090.630000,558.180000
1090.090000,559.160000
1090.030000,560.240000
1090.060000,560.920000
1090.030000,561.820000
1089.970000,562.100000
1089.960000,561.430000
1089.890000,560.830000
1089.860000,560.090000
1089.810000,559.750000
1089.590000,560.730000
1088.770000,561.150000
1088.180000,561.890000
1088.150000,562.620000
1088.260000,562.560000
1088.200000,562.580000
1088.200000,562.570000
1088.200000,562.110000
1088.190000,561.890000
1088.240000,562.100000
1088.110000,562.060000
1087.820000,562.180000
1087.390000,562.300000
1086.760000,562.380000
1086.420000,562.290000
1086.320000,562.260000
1086.300000,562.210000
1086.170000,562.260000
1086.240000,562.490000
1086.170000,563.110000
1086.050000,563.710000
1085.960000,563.640000
1085.950000,563.510000
1085.960000,562.930000
1085.910000,561.800000
1085.890000,560.190000
1086.100000,558.370000
1086.220000,556.790000
1086.500000,555.160000
1086.960000,553.870000
1086.910000,552.480000
1086.720000,551.320000
1086.880000,549.950000
1086.840000,548.910000
1086.990000,547.420000
1087.020000,545.970000
1086.920000,544.570000
1086.920000,543.030000
1086.980000,541.340000
1086.930000,540.140000
1086.940000,538.360000
1086.910000,536.740000
1087.000000,535.020000
1087.020000,535.910000
1086.940000,536.900000
1086.950000,537.790000
1087.000000,538.320000
1087.110000,538.720000
1087.140000,538.890000
1087.050000,538.940000
1087.110000,538.960000
1087.100000,538.850000
1087.080000,538.740000
1087.040000,538.650000
1087.050000,538.650000
1087.040000,538.670000
1087.010000,538.710000
1086.940000,538.800000
1086.990000,538.880000
1087.000000,538.880000
1087.010000,538.850000
1087.010000,538.840000
1087.050000,538.870000
1086.930000,538.540000
1087.000000,538.170000
1087.010000,538.080000
1086.980000,538.110000
1086.960000,538.190000
1086.970000,538.370000
1086.900000,538.810000
1086.720000,539.310000
1086.230000,540.230000
1084.240000,543.510000
1082.360000,546.010000
1080.430000,548.840000
1078.460000,552.290000
1075.260000,557.810000
1072.460000,562.970000
1070.840000,568.050000
1069.030000,572.910000
1067.100000,575.520000
1068.795777,574.464053
1069.940000,571.670000
1071.070000,568.460000
1072.040000,565.250000
1072.810000,563.510000
1071.720000,564.530000
1071.030000,566.040000
1070.390000,568.480000
1070.010000,570.670000
1069.710000,571.270000
1068.940000,570.830000
1068.720000,569.880000
1069.420000,568.990000
1070.120000,568.300000
1070.920000,568.430000
1071.940000,568.890000
1072.930000,569.630000
1073.830000,570.320000
1075.150000,571.560000
1076.320000,573.320000
1078.200000,575.280000
1080.060000,577.770000
1081.900000,580.320000
1091.100000,577.000000
1094.250000,575.320000
1096.430000,573.900000
1079.018534,584.947289
