时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度()
 21:12:38.143,COM9,, 0.024, -0.086, -0.965, 0.061, 0.000, 0.061, 0.044, -0.044, -0.071, -342.118, -39.298, 47.530, 33.39,,,,,,,,,,,,
 21:12:38.153,COM9,, 0.022, -0.088, -0.969, 0.061, 0.000, 0.000, 0.044, -0.044, -0.071, -342.020, -46.158, 49.882, 33.42,,,,,,,,,,,,
 21:12:38.164,COM9,, 0.026, -0.088, -0.969, 0.000, 0.000, 0.000, 0.049, -0.044, -0.082, -336.434, -45.276, 52.234, 33.43,,,,,,,,,,,,
 21:12:38.174,COM9,, 0.023, -0.085, -0.968, 0.000, 0.000, 0.000, 0.044, -0.044, -0.093, -338.982, -43.022, 57.624, 33.38,,,,,,,,,,,,
 21:12:38.184,COM9,, 0.025, -0.087, -0.970, 0.000, -0.122, 0.000, 0.044, -0.044, -0.099, -343.980, -45.374, 57.918, 33.40,,,,,,,,,,,,
 21:12:38.194,COM9,, 0.029, -0.088, -0.971, -0.061, -0.244, 0.000, 0.044, -0.044, -0.110, -344.372, -45.080, 51.744, 33.39,,,,,,,,,,,,
 21:12:38.203,COM9,, 0.019, -0.088, -0.970, 0.000, -0.244, -0.061, 0.044, -0.044, -0.115, -340.452, -45.080, 45.766, 33.40,,,,,,,,,,,,
 21:12:38.214,COM9,, 0.023, -0.085, -0.969, -0.061, -0.122, 0.061, 0.044, -0.049, -0.121, -343.294, -42.826, 40.376, 33.38,,,,,,,,,,,,
 21:12:38.224,COM9,, 0.026, -0.087, -0.971, 0.000, -0.183, 0.000, 0.044, -0.049, -0.121, -342.608, -41.846, 47.726, 33.40,,,,,,,,,,,,
 21:12:38.233,COM9,, 0.020, -0.087, -0.968, -0.122, -0.244, 0.000, 0.044, -0.049, -0.126, -341.334, -45.374, 46.158, 33.44,,,,,,,,,,,,
 21:12:38.244,COM9,, 0.024, -0.086, -0.969, 0.000, -0.122, 0.000, 0.044, -0.049, -0.132, -342.118, -44.884, 37.828, 33.43,,,,,,,,,,,,
 21:12:38.253,COM9,, 0.025, -0.090, -0.972, 0.000, -0.183, 0.000, 0.044, -0.055, -0.132, -340.942, -40.474, 36.848, 33.35,,,,,,,,,,,,
 21:12:38.263,COM9,, 0.021, -0.088, -0.968, -0.061, 0.000, 0.000, 0.044, -0.049, -0.126, -335.258, -37.828, 38.220, 33.44,,,,,,,,,,,,
 21:12:38.274,COM9,, 0.025, -0.086, -0.966, 0.000, 0.061, 0.061, 0.044, -0.049, -0.115, -341.628, -35.672, 45.570, 33.42,,,,,,,,,,,,
 21:12:38.283,COM9,, 0.024, -0.089, -0.968, 0.000, 0.061, 0.000, 0.044, -0.044, -0.110, -345.744, -40.670, 54.096, 33.42,,,,,,,,,,,,
 21:12:38.293,COM9,, 0.022, -0.087, -0.969, -0.061, 0.183, 0.000, 0.044, -0.044, -0.110, -339.472, -42.532, 50.078, 33.41,,,,,,,,,,,,
 21:12:38.303,COM9,, 0.024, -0.085, -0.967, 0.000, 0.061, 0.000, 0.044, -0.044, -0.110, -343.980, -38.416, 53.606, 33.46,,,,,,,,,,,,
 21:12:38.313,COM9,, 0.025, -0.087, -0.969, 0.000, 0.000, 0.000, 0.038, -0.038, -0.104, -346.626, -39.004, 54.782, 33.42,,,,,,,,,,,,
 21:12:38.323,COM9,, 0.024, -0.087, -0.970, -0.061, 0.000, 0.000, 0.038, -0.038, -0.104, -342.608, -40.572, 46.648, 33.51,,,,,,,,,,,,
 21:12:38.333,COM9,, 0.021, -0.088, -0.968, 0.000, -0.122, -0.061, 0.038, -0.038, -0.099, -339.668, -39.200, 44.492, 33.41,,,,,,,,,,,,
 21:12:38.343,COM9,, 0.022, -0.089, -0.969, 0.000, 0.000, 0.000, 0.044, -0.038, -0.093, -340.550, -38.122, 42.336, 33.41,,,,,,,,,,,,
 21:12:38.353,COM9,, 0.027, -0.086, -0.969, 0.000, -0.183, 0.000, 0.038, -0.038, -0.088, -336.728, -37.828, 49.588, 33.35,,,,,,,,,,,,
 21:12:38.363,COM9,, 0.022, -0.088, -0.967, 0.000, -0.305, 0.000, 0.038, -0.038, -0.088, -338.002, -42.826, 51.254, 33.43,,,,,,,,,,,,
 21:12:38.373,COM9,, 0.025, -0.087, -0.967, 0.000, -0.061, 0.061, 0.038, -0.038, -0.093, -343.686, -45.080, 42.238, 33.36,,,,,,,,,,,,
