时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度()
 22:12:16.998,COM9,, 0.025, -0.090, -0.970, 0.000, 0.000, 0.000, -0.121, 0.593, -0.022, -350.546, -21.364, 73.010, 32.16,,,,,,,,,,,,
 22:12:17.005,COM9,, 0.014, -0.087, -0.968, 0.000, 0.000, 0.000, -0.121, 0.599, -0.033, -349.664, -29.400, 76.734, 32.13,,,,,,,,,,,,
 22:12:17.016,COM9,, 0.019, -0.086, -0.970, 0.000, 0.000, 0.000, -0.121, 0.593, -0.049, -348.586, -28.518, 68.012, 32.10,,,,,,,,,,,,
 22:12:17.026,COM9,, 0.021, -0.089, -0.972, 0.000, 0.000, 0.000, -0.121, 0.599, -0.055, -354.270, -21.854, 70.364, 32.15,,,,,,,,,,,,
 22:12:17.035,COM9,, 0.019, -0.085, -0.969, 0.000, 0.000, 0.000, -0.121, 0.604, -0.049, -350.154, -19.894, 70.266, 32.13,,,,,,,,,,,,
 22:12:17.046,COM9,, 0.021, -0.089, -0.971, 0.000, 0.000, 0.000, -0.121, 0.604, -0.049, -348.684, -20.678, 63.896, 32.14,,,,,,,,,,,,
 22:12:17.055,COM9,, 0.015, -0.089, -0.971, 0.000, 0.000, 0.000, -0.121, 0.610, -0.049, -343.588, -23.912, 63.014, 32.11,,,,,,,,,,,,
 22:12:17.066,COM9,, 0.024, -0.085, -0.968, 0.000, 0.000, 0.000, -0.121, 0.610, -0.055, -342.902, -21.462, 66.836, 32.13,,,,,,,,,,,,
 22:12:17.075,COM9,, 0.019, -0.088, -0.970, 0.000, 0.000, 0.000, -0.121, 0.615, -0.055, -347.704, -22.050, 81.928, 32.10,,,,,,,,,,,,
 22:12:17.086,COM9,, 0.017, -0.089, -0.972, 0.000, 0.000, 0.000, -0.121, 0.615, -0.066, -350.350, -26.754, 80.752, 32.10,,,,,,,,,,,,
