时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),气压(Pa),高度(m),经度(),纬度(),GPS地速(km),GPS航向(°),GPS高度(m),卫星数量(),位置定位精度(),水平定位精度(),垂直定位精度()
 21:10:03.973,COM9,, 0.005, -0.095, -0.969, -0.061, 0.000, -0.122, 0.027, 0.099, -0.071, -366.030, -37.828, 43.806, 31.32,,,,,,,,,,,,
 21:10:03.983,COM9,, 0.009, -0.093, -0.967, 0.000, 0.061, 0.000, 0.022, 0.099, -0.082, -367.206, -37.142, 38.612, 31.35,,,,,,,,,,,,
 21:10:03.992,COM9,, 0.010, -0.094, -0.968, 0.000, 0.122, 0.000, 0.022, 0.099, -0.088, -364.952, -32.046, 41.846, 31.32,,,,,,,,,,,,
 21:10:04.001,COM9,, 0.006, -0.093, -0.965, 0.000, 0.000, -0.061, 0.022, 0.099, -0.082, -367.304, -31.752, 43.022, 31.33,,,,,,,,,,,,
 21:10:04.012,COM9,, 0.010, -0.092, -0.966, 0.000, 0.061, 0.000, 0.022, 0.099, -0.082, -369.362, -32.144, 35.868, 31.33,,,,,,,,,,,,
 21:10:04.021,COM9,, 0.008, -0.097, -0.969, 0.061, 0.061, 0.000, 0.022, 0.099, -0.077, -365.442, -29.792, 32.046, 31.35,,,,,,,,,,,,
 21:10:04.032,COM9,, 0.009, -0.093, -0.967, 0.000, 0.000, -0.061, 0.022, 0.099, -0.071, -362.208, -28.322, 35.672, 31.30,,,,,,,,,,,,
 21:10:04.042,COM9,, 0.012, -0.094, -0.966, 0.000, 0.000, 0.000, 0.022, 0.099, -0.060, -366.618, -29.400, 43.708, 31.34,,,,,,,,,,,,
 21:10:04.051,COM9,, 0.007, -0.095, -0.967, 0.000, 0.000, 0.000, 0.022, 0.104, -0.060, -370.146, -33.712, 50.470, 31.31,,,,,,,,,,,,
 21:10:04.062,COM9,, 0.008, -0.093, -0.965, 0.000, 0.000, 0.000, 0.022, 0.099, -0.066, -370.048, -31.164, 50.568, 31.33,,,,,,,,,,,,
